outfit_name,price,image_url,description,body_type,occasion,gender
Red Cotton Shirt,25,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpLukpB-b6MxrLHvQAHANDqIU6uWUfxJLWQQ&s,Soft red cotton shirt with button front for casual days,slim,casual,male
Slim Fit T-Shirt,18,https://cdn.shopify.com/s/files/1/1529/1475/products/helikon-slim-fit-t-shirt-coyote-front_400x400.jpg?v=1628000525,Basic slim fit grey t-shirt for everyday wear,slim,casual,other
Beige Slim Chinos,32,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTafgYQVi782cEmGoFJszewcGPGV77zut5w-Q&s,Light beige slim chinos pants for office legs,slim,office,male
White Slim Polo,22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRskB4zh7adbgoTjQ4aQrQNrKYuCE3gScyHbw&s,Crisp white slim polo shirt for athletic build,slim,casual,male
Black Slim Leather Jacket,80,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_YHDtcdKguaYrBAfEj_-AaOabNQb9f8x-oQ&s,Black slim leather jacket for cool party vibe,slim,party,male
Grey Slim Blazer,60,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhYJSXwVS4-gUNT_4tt7GxEe37GgV8tJ05_Q&s,Tailored grey slim blazer for professional office look,slim,office,male
Blue Slim Button-Down,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHFUdtKsPEhV7V8Ao68oO2nRsmeA5fcERixw&s,Blue slim button-down shirt for casual frame,slim,casual,male
Slim Fit Cargo Shorts,25,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQItIzFyc2Q_Y2Iq07NDfhn0OLPfulo5KwR2A&s,Khaki slim cargo shorts for summer style,slim,casual,male
Slim V-Neck Sweater,35,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsI7z3JwRw4uLOJ9T9CAPOxdDXcacKjwrCiA&s,Black slim v-neck sweater for winter office,slim,office,other
Slim Track Jacket,40,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmI2qcHJZlpdb9HwnVP-BGWBUNHjz-N64tkQ&s,Blue slim track jacket for active party wear,slim,party,male
Black A-Line Dress,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgHDavoaUCeYn66DIjfAfBa2EPg30YosaWGA&s,Black a-line dress with flare for curves,curvy,party,female
